iter	Passed	Remaining
0	1	1381
1	2	1286
2	3	1314
3	5	1269
4	6	1263
5	7	1303
6	9	1321
7	10	1308
8	11	1301
9	12	1271
10	14	1286
11	15	1274
12	16	1263
13	17	1254
14	18	1241
15	20	1248
16	21	1235
17	22	1238
18	23	1229
19	25	1236
20	26	1242
21	27	1236
22	29	1237
23	30	1234
24	31	1225
25	32	1227
26	33	1220
27	35	1231
28	36	1238
29	38	1241
30	39	1235
31	40	1234
32	42	1239
33	43	1237
34	45	1242
35	46	1237
36	47	1243
37	49	1245
38	50	1249
39	52	1253
40	53	1250
41	54	1247
42	56	1250
43	57	1251
44	59	1252
45	60	1255
46	62	1258
47	63	1258
48	64	1261
49	66	1258
50	67	1260
51	68	1256
52	70	1258
53	71	1257
54	73	1258
55	74	1257
56	75	1252
57	77	1250
58	78	1251
59	79	1253
60	81	1251
61	82	1252
62	84	1253
63	85	1254
64	87	1255
65	88	1257
66	90	1256
67	91	1256
68	93	1256
69	94	1255
70	95	1252
71	96	1248
72	98	1247
73	99	1243
74	100	1241
75	101	1239
76	103	1239
77	104	1239
78	106	1237
79	107	1237
80	109	1237
81	110	1235
82	111	1232
83	113	1232
84	114	1232
85	115	1232
86	117	1232
87	118	1232
88	120	1232
89	121	1232
90	123	1231
91	124	1231
92	126	1231
93	127	1230
94	129	1230
95	130	1227
96	131	1225
97	132	1222
98	134	1222
99	135	1222
100	137	1220
101	138	1219
102	139	1219
103	141	1218
104	142	1216
105	144	1216
106	145	1216
107	146	1212
108	148	1212
109	149	1210
110	150	1207
111	152	1207
112	153	1206
113	155	1205
114	156	1203
115	157	1203
116	159	1202
117	160	1198
118	161	1196
119	162	1195
120	164	1194
121	165	1193
122	166	1190
123	168	1190
124	169	1189
125	171	1189
126	172	1188
127	174	1187
128	175	1185
129	177	1185
130	178	1185
131	180	1185
132	181	1185
133	183	1185
134	184	1182
135	185	1181
136	187	1178
137	188	1179
138	190	1179
139	192	1179
140	193	1178
141	194	1176
142	196	1176
143	197	1176
144	199	1175
145	200	1173
146	201	1171
147	203	1172
148	205	1171
149	206	1171
150	208	1171
151	209	1170
152	211	1168
153	213	1171
154	214	1169
155	215	1168
156	217	1167
157	219	1167
158	220	1166
159	222	1166
160	223	1166
161	225	1165
162	227	1166
163	228	1167
164	230	1166
165	232	1166
166	233	1165
167	235	1166
168	237	1167
169	239	1167
170	241	1168
171	242	1169
172	244	1167
173	245	1166
174	247	1165
175	248	1164
176	250	1162
177	251	1161
178	253	1162
179	255	1163
180	257	1164
181	259	1165
182	260	1163
183	262	1165
184	264	1163
185	265	1161
186	266	1160
187	268	1159
188	269	1157
189	271	1156
190	272	1155
191	274	1154
192	275	1152
193	277	1150
194	278	1149
195	280	1149
196	281	1147
197	283	1147
198	284	1145
199	286	1144
200	287	1143
201	288	1141
202	290	1140
203	291	1139
204	293	1138
205	295	1137
206	296	1135
207	297	1134
208	299	1134
209	301	1133
210	303	1133
211	304	1132
212	306	1132
213	308	1133
214	311	1136
215	313	1136
216	314	1134
217	316	1135
218	318	1134
219	320	1135
220	322	1136
221	324	1135
222	325	1132
223	326	1132
224	328	1131
225	329	1130
226	331	1129
227	333	1127
228	334	1127
229	336	1126
230	338	1125
231	339	1124
232	341	1123
233	343	1123
234	344	1122
235	346	1122
236	348	1121
237	349	1120
238	351	1118
239	352	1117
240	354	1117
241	356	1117
242	358	1117
243	360	1117
244	362	1117
245	364	1116
246	365	1115
247	367	1114
248	369	1114
249	370	1112
250	372	1111
251	374	1110
252	375	1109
253	377	1107
254	378	1105
255	380	1104
256	381	1103
257	383	1101
258	384	1100
259	386	1099
260	387	1097
261	389	1095
262	390	1094
263	392	1093
264	393	1091
265	395	1090
266	396	1089
267	398	1087
268	399	1086
269	401	1085
270	402	1083
271	403	1081
272	405	1079
273	407	1078
274	408	1077
275	410	1076
276	411	1074
277	413	1073
278	414	1071
279	416	1070
280	417	1069
281	419	1067
282	421	1067
283	422	1065
284	424	1064
285	426	1063
286	427	1062
287	429	1061
288	430	1060
289	432	1059
290	434	1057
291	435	1056
292	437	1055
293	439	1055
294	441	1054
295	443	1054
296	445	1053
297	446	1052
298	447	1050
299	449	1048
300	450	1047
301	452	1045
302	453	1043
303	455	1042
304	456	1040
305	457	1038
306	459	1036
307	460	1035
308	462	1034
309	463	1032
310	465	1030
311	466	1029
312	468	1027
313	469	1025
314	471	1024
315	472	1022
316	473	1020
317	475	1019
318	477	1018
319	478	1017
320	480	1015
321	481	1014
322	483	1012
323	484	1010
324	485	1009
325	487	1007
326	488	1006
327	490	1004
328	491	1002
329	492	1000
330	494	999
331	496	998
332	497	996
333	499	995
334	500	994
335	502	992
336	504	991
337	505	989
338	507	988
339	508	986
340	509	985
341	511	984
342	513	983
343	514	982
344	516	980
345	517	978
346	519	977
347	521	976
348	522	974
349	523	972
350	525	971
351	526	970
352	528	968
353	529	967
354	531	965
355	533	964
356	534	963
357	536	962
358	537	960
359	538	958
360	540	956
361	542	955
362	543	953
363	545	952
364	546	950
365	548	949
366	549	948
367	551	947
368	552	944
369	554	943
370	555	941
371	556	940
372	558	939
373	559	936
374	561	935
375	563	934
376	564	933
377	566	931
378	567	929
379	569	928
380	570	927
381	572	926
382	574	924
383	575	923
384	577	922
385	578	920
386	580	919
387	581	917
388	583	916
389	584	914
390	586	913
391	587	911
392	589	910
393	590	908
394	592	907
395	593	905
396	595	904
397	596	902
398	598	901
399	599	899
400	601	898
401	603	897
402	604	895
403	605	893
404	607	892
405	609	891
406	610	889
407	612	888
408	613	887
409	615	886
410	617	885
411	619	884
412	621	883
413	622	881
414	624	880
415	626	878
416	627	877
417	629	875
418	630	874
419	632	873
420	634	872
421	636	871
422	638	870
423	640	869
424	641	868
425	643	867
426	645	866
427	647	865
428	649	864
429	651	863
430	652	862
431	654	860
432	655	858
433	657	857
434	659	856
435	661	855
436	662	854
437	664	852
438	666	851
439	667	850
440	669	848
441	670	846
442	672	845
443	673	843
444	675	842
445	676	840
446	678	839
447	680	837
448	681	836
449	683	835
450	684	833
451	686	832
452	688	830
453	689	829
454	691	828
455	693	826
456	695	825
457	696	824
458	698	823
459	700	822
460	702	821
461	704	820
462	706	819
463	707	817
464	709	816
465	711	815
466	713	814
467	715	812
468	716	811
469	718	810
470	720	808
471	721	807
472	723	806
473	725	805
474	727	803
475	728	802
476	730	801
477	732	799
478	733	797
479	735	796
480	737	795
481	738	793
482	740	792
483	742	791
484	743	789
485	745	788
486	747	786
487	748	785
488	749	783
489	751	782
490	753	781
491	755	780
492	757	778
493	758	777
494	760	775
495	761	773
496	763	772
497	765	771
498	766	769
499	768	768
500	770	767
501	771	765
502	773	764
503	775	763
504	777	762
505	779	760
506	780	759
507	782	758
508	784	756
509	786	755
510	788	754
511	790	753
512	791	751
513	793	750
514	795	749
515	796	747
516	798	746
517	800	744
518	802	743
519	804	742
520	805	740
521	807	739
522	808	737
523	810	736
524	812	735
525	814	734
526	816	732
527	818	731
528	820	730
529	821	728
530	823	727
531	825	726
532	827	724
533	828	723
534	830	721
535	832	720
536	833	718
537	835	717
538	837	716
539	839	714
540	840	713
541	841	711
542	843	709
543	845	708
544	846	706
545	848	705
546	849	703
547	850	701
548	852	700
549	853	698
550	855	696
551	856	695
552	858	693
553	859	692
554	861	690
555	862	688
556	864	687
557	865	685
558	867	684
559	868	682
560	870	681
561	871	679
562	873	677
563	874	676
564	876	674
565	877	673
566	878	671
567	880	669
568	882	668
569	883	666
570	885	665
571	886	663
572	888	661
573	890	660
574	891	659
575	893	657
576	894	656
577	896	654
578	897	652
579	899	651
580	901	649
581	902	648
582	904	646
583	905	645
584	907	643
585	909	642
586	910	640
587	912	639
588	913	637
589	915	636
590	916	634
591	918	633
592	920	631
593	921	629
594	923	628
595	924	626
596	926	625
597	927	623
598	928	621
599	930	620
600	932	618
601	933	617
602	935	615
603	937	614
604	938	612
605	939	611
606	941	609
607	943	608
608	945	606
609	946	605
610	948	603
611	949	602
612	951	600
613	953	599
614	955	597
615	956	596
616	958	594
617	959	593
618	961	591
619	963	590
620	964	588
621	965	587
622	967	585
623	969	583
624	970	582
625	972	581
626	974	579
627	975	578
628	977	576
629	978	574
630	980	573
631	981	571
632	982	569
633	983	568
634	985	566
635	986	564
636	987	562
637	989	561
638	990	559
639	992	558
640	993	556
641	995	555
642	996	553
643	998	551
644	999	550
645	1001	548
646	1002	547
647	1004	545
648	1005	543
649	1007	542
650	1008	540
651	1010	539
652	1011	537
653	1013	536
654	1014	534
655	1016	532
656	1017	531
657	1019	529
658	1020	528
659	1022	526
660	1023	524
661	1024	523
662	1026	521
663	1028	520
664	1029	518
665	1031	517
666	1032	515
667	1034	514
668	1035	512
669	1037	511
670	1039	509
671	1041	508
672	1043	506
673	1044	505
674	1046	503
675	1048	502
676	1049	500
677	1051	499
678	1052	497
679	1054	496
680	1056	494
681	1058	493
682	1059	491
683	1061	490
684	1062	488
685	1063	487
686	1065	485
687	1067	484
688	1069	482
689	1070	480
690	1072	479
691	1073	478
692	1075	476
693	1077	474
694	1078	473
695	1080	471
696	1081	470
697	1083	468
698	1085	467
699	1086	465
700	1088	464
701	1089	462
702	1091	461
703	1093	459
704	1094	458
705	1095	456
706	1097	454
707	1098	453
708	1100	451
709	1101	450
710	1103	448
711	1104	446
712	1106	445
713	1107	443
714	1109	442
715	1110	440
716	1112	439
717	1113	437
718	1114	435
719	1116	434
720	1118	432
721	1119	431
722	1121	429
723	1123	428
724	1124	426
725	1126	425
726	1127	423
727	1129	422
728	1131	420
729	1132	419
730	1134	417
731	1136	415
732	1137	414
733	1139	412
734	1141	411
735	1142	409
736	1144	408
737	1145	406
738	1147	405
739	1148	403
740	1150	402
741	1151	400
742	1153	398
743	1154	397
744	1156	395
745	1158	394
746	1159	392
747	1161	391
748	1162	389
749	1164	388
750	1166	386
751	1167	385
752	1169	383
753	1171	382
754	1172	380
755	1174	379
756	1176	377
757	1178	376
758	1179	374
759	1181	373
760	1183	371
761	1184	370
762	1186	368
763	1188	367
764	1190	365
765	1192	364
766	1194	362
767	1195	361
768	1197	359
769	1199	358
770	1201	356
771	1203	355
772	1205	353
773	1207	352
774	1209	351
775	1211	349
776	1213	348
777	1214	346
778	1216	345
779	1218	343
780	1219	342
781	1221	340
782	1222	338
783	1224	337
784	1226	335
785	1227	334
786	1229	332
787	1231	331
788	1233	329
789	1234	328
790	1236	326
791	1237	325
792	1239	323
793	1240	321
794	1242	320
795	1243	318
796	1245	317
797	1246	315
798	1248	314
799	1249	312
800	1251	310
801	1252	309
802	1254	307
803	1255	306
804	1257	304
805	1258	303
806	1260	301
807	1261	299
808	1263	298
809	1264	296
810	1266	295
811	1268	293
812	1269	292
813	1270	290
814	1272	288
815	1273	287
816	1275	285
817	1276	284
818	1278	282
819	1279	280
820	1281	279
821	1282	277
822	1284	276
823	1285	274
824	1287	273
825	1288	271
826	1290	269
827	1291	268
828	1292	266
829	1294	265
830	1295	263
831	1297	261
832	1298	260
833	1300	258
834	1301	257
835	1303	255
836	1304	254
837	1306	252
838	1307	250
839	1309	249
840	1310	247
841	1312	246
842	1313	244
843	1315	243
844	1316	241
845	1317	239
846	1319	238
847	1320	236
848	1322	235
849	1323	233
850	1325	232
851	1326	230
852	1328	228
853	1329	227
854	1330	225
855	1332	224
856	1333	222
857	1335	220
858	1336	219
859	1338	217
860	1339	216
861	1341	214
862	1342	213
863	1343	211
864	1345	209
865	1346	208
866	1348	206
867	1349	205
868	1351	203
869	1352	202
870	1354	200
871	1355	199
872	1357	197
873	1358	195
874	1360	194
875	1361	192
876	1363	191
877	1364	189
878	1366	188
879	1367	186
880	1369	184
881	1370	183
882	1372	181
883	1373	180
884	1375	178
885	1376	177
886	1378	175
887	1379	174
888	1381	172
889	1383	170
890	1384	169
891	1386	167
892	1387	166
893	1388	164
894	1390	163
895	1391	161
896	1393	159
897	1394	158
898	1396	156
899	1397	155
900	1399	153
901	1400	152
902	1402	150
903	1403	149
904	1405	147
905	1406	145
906	1408	144
907	1409	142
908	1411	141
909	1413	139
910	1414	138
911	1416	136
912	1417	135
913	1419	133
914	1420	131
915	1421	130
916	1423	128
917	1424	127
918	1426	125
919	1427	124
920	1429	122
921	1430	121
922	1432	119
923	1434	117
924	1435	116
925	1437	114
926	1438	113
927	1440	111
928	1442	110
929	1443	108
930	1445	107
931	1447	105
932	1448	104
933	1450	102
934	1452	100
935	1453	99
936	1455	97
937	1457	96
938	1458	94
939	1460	93
940	1461	91
941	1463	90
942	1465	88
943	1466	87
944	1468	85
945	1469	83
946	1471	82
947	1473	80
948	1474	79
949	1476	77
950	1477	76
951	1479	74
952	1481	73
953	1482	71
954	1484	69
955	1485	68
956	1487	66
957	1489	65
958	1490	63
959	1492	62
960	1493	60
961	1495	59
962	1497	57
963	1498	55
964	1500	54
965	1502	52
966	1503	51
967	1505	49
968	1507	48
969	1509	46
970	1510	45
971	1512	43
972	1514	42
973	1515	40
974	1517	38
975	1519	37
976	1520	35
977	1522	34
978	1523	32
979	1525	31
980	1526	29
981	1528	28
982	1530	26
983	1531	24
984	1533	23
985	1535	21
986	1536	20
987	1538	18
988	1540	17
989	1541	15
990	1543	14
991	1544	12
992	1546	10
993	1548	9
994	1549	7
995	1551	6
996	1552	4
997	1554	3
998	1555	1
999	1557	0
